STATION_ID,TOOLTIP,ORGANIZATION,STATION_NAME,LATITUDE,COUNTRY,STATION_SHORTNAME,ALTITUDE,LONGITUDE,SUBBASIN
02E07E2F72A815E237B7896D79BC68193EF3A0A6,Recreo - Ruta Provincial nº 70,WHOS,Recreo - Ruta Provincial nº 70,-31.4912222222222,Argentina,Recreo-RutaP,,-60.7805555555556,
02F452A2F63ECE86E6273A59BAF892BE81961AC4,BELO HORIZONTE - VILA PINHO,WHOS,BELO HORIZONTE - VILA PINHO,-19.999,Brazil,BELOHORIZONT,,-44.026,
02F5060C0CB8C90C224DD4701673BC31A63037B3,SAO LEOPOLDO - VICENTINA,WHOS,SAO LEOPOLDO - VICENTINA,-29.773,Brazil,SAOLEOPOLDO-,,-51.16,
02FB5081C9C1E889C75958F9A0F7815310D7A471,Marmaraja,WHOS,Marmaraja,-34.26,Uruguay,Marmaraja,,-54.955,
02FFE3EB705BD97665FB3BB6F86C08E00FC3457A,SANTA FÉ,WHOS,SANTA FÉ,-23.0336,Brazil,SANTAFÉ,,-51.7531,
0321BF383D872DCCC4E2CF43D56159CA6E48B91B,Arenales - El Encon,WHOS,Arenales - El Encon,-24.8423055555556,Argentina,Arenales-ElE,,-65.59325,
03221AE5839193A6B2928AB651054187DF0469FC,PRIMAVERA DO LESTE,WHOS,PRIMAVERA DO LESTE,-15.57999999,Brazil,PRIMAVERADOL,,-54.3811111,
033640CBCE2F78B4CF46283B200B77DE989C5F77,CGH SALTO DA BARRA BARRAMENTO,WHOS,CGH SALTO DA BARRA BARRAMENTO,-24.0644,Brazil,CGHSALTODABA,,-48.7269,
0353A26A6F6877C17812FD94FA5238A04CF6E76C,CAPAO DO LEAO - CENTRO,WHOS,CAPAO DO LEAO - CENTRO,-31.7644166,Brazil,CAPAODOLEAO-,,-52.76451,
035642B35C906CA0522E227228BF5639540BE019,RIO BRANCO DO SUL - CENTRO,WHOS,RIO BRANCO DO SUL - CENTRO,-25.193,Brazil,RIOBRANCODOS,,-49.313,
035E1B41CF4C2A8871DF710831528E9BC25EE541,XAVANTINA,WHOS,XAVANTINA,-14.6725,Brazil,XAVANTINA,,-52.355,
03618ACA7F706F9A16F296E96875A757674FAEE1,PCH MORRO GRANDE JUSANTE 2,WHOS,PCH MORRO GRANDE JUSANTE 2,-28.5919,Brazil,PCHMORROGRAN,,-51.3247,
037018C4CACDA192A8B92D7A4B7C8A2BFDD6A699,monje,WHOS,monje,-32.3675003051758,Argentina,monje,,-60.9319458007812,
039C42AF775D04BA68802A8A1A0BF46A637B482D,PRAIA GRANDE - JARDIM ALICE,WHOS,PRAIA GRANDE - JARDIM ALICE,-24.082475,Brazil,PRAIAGRANDE-,,-46.604711,
03C374EB21A381FD55E11B5F55C508DDB027E3AA,Río Salado - RP 41,WHOS,Río Salado - RP 41,-35.7263888888889,Argentina,RíoSalado-RP,,-58.5363888888889,
03D89429E6C9568220DF9738EC5AA8EDF3FA95AB,SANTA TEREZINHA - UBS CENTRO,WHOS,SANTA TEREZINHA - UBS CENTRO,-26.77489,Brazil,SANTATEREZIN,,-50.00846,
03E6697031899AB6B4977D97C88BE4DEB9EF4FED,PARAIBUNA,WHOS,PARAIBUNA,-23.42,Brazil,PARAIBUNA,,-45.65,
03E6F0480D3A4A7E54BD99733AF75D399EA581A3,SAO PAULO - LIMAO,WHOS,SAO PAULO - LIMAO,-23.511,Brazil,SAOPAULO-LIM,,-46.667,
03EC2C77ED6F29E58289A23363EE16E8756690FE,Salto,WHOS,Salto,-31.436670000000003,,Salto,,-57.980000000000004,
03ED4E1B7E96221888C3AA57B4C49E4DFCF3F18D,ITUPORANGA,WHOS,ITUPORANGA,-27.41833332,Brazil,ITUPORANGA,,-49.64694444,
03F9352C2D13DEA4C00B56E9B6865B60708A70F6,Canal Liag - Quebrachal,WHOS,Canal Liag - Quebrachal,-25.3452777777778,Argentina,CanalLiag-Qu,,-64.045,
03F95766FEF3AB28E73BD074560AA3B28EB5E863,CAJATI - JACUPIRANGUINHA,WHOS,CAJATI - JACUPIRANGUINHA,-24.777,Brazil,CAJATI-JACUP,,-48.2,
0401460CB4BA5C63A2B7F51516789C1F82120C4B,UHE BARRA JUSANTE,WHOS,UHE BARRA JUSANTE,-24.0283,Brazil,UHEBARRAJUSA,,-47.3567,
