,STATION_ID,STATION_NAME,STATION_SHORTNAME,TOOLTIP,LATITUDE,LONGITUDE,ALTITUDE,TYPE,COUNTRY,ORGANIZATION,SUBBASIN,PARENT_ID
140,6401,Aº Del Medio - Motomel,AºDelMedio-M,Aº Del Medio - Motomel,-33.3505555555556,-60.3230555555556,,,Argentina,INA,Rio Parana,AR_INA_6401
141,2198,Aº Batel - Paso Cerrito,AºBatel-Paso,Aº Batel - Paso Cerrito,-29.0311111111111,-58.7883333333333,,,Argentina,INA,Rio Parana,AR_INA_2198
142,38,San Pedro,SanPedro,San Pedro,-33.6745267329027,-59.6497183332918,,,Argentina,INA,Rio Parana,AR_INA_38
143,6361,Tercero - Piedras Moras,Tercero-Pied,Tercero - Piedras Moras,-32.1694444444444,-64.2327777777778,,,Argentina,INA,Rio Parana,AR_INA_6361
144,7270,Grande - Ume Pay,Grande-UmePa,Grande - Ume Pay,-32.2183333333333,-64.7513888888889,,,Argentina,INA,Rio Parana,AR_INA_7270
145,7274,Gualeguaychú - RN Nº 39,Gualeguaychú,Gualeguaychú - RN Nº 39,-32.445,-58.5547222222222,,,Argentina,INA,Rio Uruguay,AR_INA_7274
146,34,Rosario,Rosario,Rosario,-32.9432699442268,-60.6308206029857,,,Argentina,INA,Rio Parana,AR_INA_34
147,7252,Canal 9 - Autovia 2,Canal9-Autov,Canal 9 - Autovia 2,-36.2811111111111,-57.7038888888889,,,Argentina,INA,Rio de la Plata,AR_INA_7252
148,2809,Quinto - RP Nº26,Quinto-RPNº2,Quinto - RP Nº26,-34.7627777777778,-63.645,,,Argentina,INA,,AR_INA_2809
149,2180,Desaguadero - Canalejas,Desaguadero-,Desaguadero - Canalejas,-35.1686111111111,-66.4963888888889,,,Argentina,INA,,AR_INA_2180
150,7221,CIRHBAS - PLU LA HORQUETA,CIRHBAS-PLUL,CIRHBAS - PLU LA HORQUETA,-27.8,-60.2316666666667,,,Argentina,INA,Rio Parana,AR_INA_7221
151,7209,CIRHBAS - PF LOTE 48 (LA MONTENEGRINA),CIRHBAS-PFLO,CIRHBAS - PF LOTE 48 (LA MONTENEGRINA),-26.9119444444444,-60.6766666666667,,,Argentina,INA,Rio Parana,AR_INA_7209
152,7241,Aº Saladillo Dulce - RP Nº 81,AºSaladilloD,Aº Saladillo Dulce - RP Nº 81,-30.8547222222222,-60.2822222222222,,,Argentina,INA,Rio Parana,AR_INA_7241
153,72,Paso de los Libres,PasodelosLib,Paso de los Libres,-29.7166666666667,-57.0833333333333,,,Argentina,INA,Rio Uruguay,AR_INA_72
154,2673,Colastiné - RN N° 168,Colastiné-RN,Colastiné - RN N° 168,-31.6611111111111,-60.6019444444444,,,Argentina,INA,Rio Parana,AR_INA_2673
155,79,Concordia,Concordia,Concordia,-31.4,-58.0166666666667,,,Argentina,INA,Rio Uruguay,AR_INA_79
156,7193,CIRHBAS - LIM LOS AMORES - CAN,CIRHBAS-LIML,CIRHBAS - LIM LOS AMORES - CAN,-28.1102777777778,-59.9755555555556,,,Argentina,INA,Rio Parana,AR_INA_7193
157,7264,Dulce III – Los Quiroga,DulceIII–Los,Dulce III – Los Quiroga,-27.6058333333333,-64.4075,,,Argentina,INA,,AR_INA_7264
158,7251,Calchaquí - Cachi,Calchaquí-Ca,Calchaquí - Cachi,-25.1205555555556,-66.1588888888889,,,Argentina,INA,Rio Parana,AR_INA_7251
159,103,Recreo - Ruta Provincial nº 70,Recreo-RutaP,Recreo - Ruta Provincial nº 70,-31.4912222222222,-60.7805555555556,,,Argentina,INA,Rio Parana,AR_INA_103
160,6405,Uruguay - Concep. del Uruguay,Uruguay-Conc,Uruguay - Concep. del Uruguay,-32.4775,-58.2208333333333,,,Argentina,INA,Rio Uruguay,AR_INA_6405
161,7226,CIRHBAS - PLU POZO LAS PIEDRAS,CIRHBAS-PLUP,CIRHBAS - PLU POZO LAS PIEDRAS,-27.1663888888889,-61.6869444444444,,,Argentina,INA,Rio Parana,AR_INA_7226
162,8,Andresito,Andresito,Andresito,-25.5833333333333,-53.9833333333333,,,Argentina,INA,Rio Parana,AR_INA_8
163,6445,Quinto - Justo Daract,Quinto-Justo,Quinto - Justo Daract,-33.9186111111111,-65.1516666666667,,,Argentina,INA,,AR_INA_6445
164,7203,CIRHBAS - MET VILLA MINETTI,CIRHBAS-METV,CIRHBAS - MET VILLA MINETTI,-28.6219444444444,-61.6047222222222,,,Argentina,INA,Rio Parana,AR_INA_7203
165,75,Mocoretá,Mocoretá,Mocoretá,-30.715682,-57.81776,,,Argentina,INA,Rio Uruguay,AR_INA_75
166,2215,Río Areco - San Antonio de Are,RíoAreco-San,Río Areco - San Antonio de Are,-34.2405555555556,-59.4994444444444,,,Argentina,INA,Rio Parana,AR_INA_2215
167,17,Itatí,Itatí,Itatí,-27.26677773,-58.24407387,,,Argentina,INA,Rio Parana,AR_INA_17
168,2177,Canal Liag - Quebrachal,CanalLiag-Qu,Canal Liag - Quebrachal,-25.3452777777778,-64.045,,,Argentina,INA,Rio Parana,AR_INA_2177
169,2115,Paraná - Corrientes,Paraná-Corri,Paraná - Corrientes,-27.4597222222222,-58.8333333333333,,,Argentina,INA,Rio Parana,AR_INA_2115
170,6357,Carcarañá - Cruz Alta,Carcarañá-Cr,Carcarañá - Cruz Alta,-33.0063888888889,-61.7875,,,Argentina,INA,Rio Parana,AR_INA_6357
171,6482,Desaguadero - Navia,Desaguadero-,Desaguadero - Navia,-34.7741666666667,-66.5886111111111,,,Argentina,INA,,AR_INA_6482
172,6505,Chico - RN Nº157 Monteagudo,Chico-RNNº15,Chico - RN Nº157 Monteagudo,-27.5211111111111,-65.2663888888889,,,Argentina,INA,,AR_INA_6505
173,2178,Iguazú - Puerto Andresito,Iguazú-Puert,Iguazú - Puerto Andresito,-25.5905555555556,-53.995,,,Argentina,INA,Rio Parana,AR_INA_2178
174,7210,CIRHBAS - PF MEDRANO,CIRHBAS-PFME,CIRHBAS - PF MEDRANO,-28.4488888888889,-61.4947222222222,,,Argentina,INA,Rio Parana,AR_INA_7210
175,2150,Miriñay - Paso Ledesma,Miriñay-Paso,Miriñay - Paso Ledesma,-29.8458333333333,-57.675,,,Argentina,INA,Rio Uruguay,AR_INA_2150
176,7326,RMA05_SVI - San Vicente,RMA05_SVI-Sa,RMA05_SVI - San Vicente,-26.9208333333333,-54.4227777777778,,,Argentina,INA,Rio Uruguay,AR_INA_7326
177,6685,Sis. Setúbal-Sta. Fé-La Guard.,Sis.Setúbal-,Sis. Setúbal-Sta. Fé-La Guard.,-31.6302777777778,-60.6777777777778,,,Argentina,INA,Rio Parana,AR_INA_6685
178,2201,A° El Soberbio - Pje La Lechuz,A°ElSoberbio,A° El Soberbio - Pje La Lechuz,-27.2572222222222,-54.2355555555556,,,Argentina,INA,Rio Uruguay,AR_INA_2201
179,2158,Aº Feliciano - Paso Medina,AºFeliciano-,Aº Feliciano - Paso Medina,-30.9236111111111,-59.5511111111111,,,Argentina,INA,Rio Parana,AR_INA_2158
180,6587,Uruguay - Santo Tomé,Uruguay-Sant,Uruguay - Santo Tomé,-28.545,-56.0288888888889,,,Argentina,INA,Rio Uruguay,AR_INA_6587
181,2825,Santa Lucia - Santa Lucia,SantaLucia-S,Santa Lucia - Santa Lucia,-28.9877777777778,-59.0905555555556,,,Argentina,INA,Rio Parana,AR_INA_2825
182,7320,RMA04_COL - Cote Lai,RMA04_COL-Co,RMA04_COL - Cote Lai,-27.5327777777778,-59.5763888888889,,,Argentina,INA,Rio Parana,AR_INA_7320
183,7286,Las Conchas - La Punilla RP44,LasConchas-L,Las Conchas - La Punilla RP44,-26.0119444444444,-65.8230555555556,,,Argentina,INA,Rio Parana,AR_INA_7286
184,46,Puerto Ruiz,PuertoRuiz,Puerto Ruiz,-33.2166666667,-59.3666666667,,,Argentina,INA,Rio Parana,AR_INA_46
185,7338,RMA08_BPL - Bonpland,RMA08_BPL-Bo,RMA08_BPL - Bonpland,-29.8186111111111,-57.4297222222222,,,Argentina,INA,Rio Uruguay,AR_INA_7338
186,55,Puerto Pilcomayo,PuertoPilcom,Puerto Pilcomayo,-25.3666666666667,-57.65,,,Argentina,INA,Rio Paraguay,AR_INA_55
187,7201,CIRHBAS - MET LINEA PARANA,CIRHBAS-METL,CIRHBAS - MET LINEA PARANA,-28.0086111111111,-60.6463888888889,,,Argentina,INA,Rio Parana,AR_INA_7201
188,6359,Salado - Puente Carretero,Salado-Puent,Salado - Puente Carretero,-34.6113888888889,-60.9572222222222,,,Argentina,INA,Rio de la Plata,AR_INA_6359
189,5894,Riacho Victoria - Victoria,RiachoVictor,Riacho Victoria - Victoria,-32.6316666666667,-60.1652777777778,,,Argentina,INA,Rio Parana,AR_INA_5894
190,7224,CIRHBAS - PLU NOGUES,CIRHBAS-PLUN,CIRHBAS - PLU NOGUES,-28.0377777777778,-59.6966666666667,,,Argentina,INA,Rio Parana,AR_INA_7224
191,69,Alvear,Alvear,Alvear,-29.1,-56.55,,,Argentina,INA,Rio Uruguay,AR_INA_69
192,7291,Marapa - RN Nº 157 Lamadrid,Marapa-RNNº1,Marapa - RN Nº 157 Lamadrid,-27.6572222222222,-65.2447222222222,,,Argentina,INA,,AR_INA_7291
193,1063,Miriñay Río,MiriñayRío,Miriñay Río,-29.845637,-57.674446,,,Argentina,INA,Rio Uruguay,AR_INA_1063
194,2826,Pilcomayo - Puesto Jerez,Pilcomayo-Pu,Pilcomayo - Puesto Jerez,-22.7280555555556,-62.2133333333333,,,Argentina,INA,Rio Paraguay,AR_INA_2826
