STATION_ID,EXTERNAL_LOCATION_ID,EXTERNAL_PARAMETER_ID,TIMESTEP_HOUR,UNIT,IMPORT_SOURCE,THRESHOLD_LOW,THRESHOLD_YELLOW,THRESHOLD_RED,IMPORT,THRESHOLD_p05,THRESHOLD_p50,THRESHOLD_p95,LATITUDE,LONGITUDE,ALTITUDE,COUNTRY,ORGANIZATION,SUBBASIN
2199,2199,39,24.0,m,INA,,,,True,,,,-29.7572222222222,-59.2172222222222,,Argentina,INA,Rio Parana
2200,2200,39,24.0,m,INA,,,,True,,,,-33.7763888888889,-69.2725,,Argentina,INA,
2201,2201,39,24.0,m,INA,,,,True,,,,-27.2572222222222,-54.2355555555556,,Argentina,INA,Rio Uruguay
2202,2202,39,24.0,m,INA,,,,True,,,,-33.1386111111111,-64.2847222222222,,Argentina,INA,Rio Parana
2203,2203,39,24.0,m,INA,,7.0,8.3,True,,,,-32.3086111111111,-59.0769444444445,,Argentina,INA,Rio Parana
2204,2204,39,24.0,m,INA,,,,True,,,,-32.6733333333333,-60.8658333333333,,Argentina,INA,Rio Parana
2205,2205,39,24.0,m,INA,,,,True,,,,-31.8016666666667,-59.1261111111111,,Argentina,INA,Rio Parana
2206,2206,39,24.0,m,INA,,,,True,,,,-34.2880555555556,-59.7027777777778,,Argentina,INA,Rio Parana
2207,2207,39,24.0,m,INA,,,,True,,,,-36.8311111111111,-59.8938888888889,,Argentina,INA,Rio de la Plata
2208,2208,39,24.0,m,INA,,,,True,,,,-50.4261111111111,-72.7477777777778,,Argentina,INA,
2210,2210,39,24.0,m,INA,,,,True,,,,-38.5322222222222,-69.4125,,Argentina,INA,
2211,2211,39,24.0,m,INA,,,,True,,,,-34.3225,-61.3513888888889,,Argentina,INA,Rio de la Plata
2212,2212,39,24.0,m,INA,,,,True,,,,-34.2419444444444,-62.1211111111111,,Argentina,INA,
2213,2213,39,24.0,m,INA,,,,True,,,,-34.2580555555556,-61.6386111111111,,Argentina,INA,Rio de la Plata
2215,2215,39,24.0,m,INA,,,,True,,,,-34.2405555555556,-59.4994444444444,,Argentina,INA,Rio Parana
2216,2216,39,24.0,m,INA,,,,True,,,,-54.7975,-68.2255555555556,,Argentina,INA,
2219,2219,39,24.0,m,INA,,,,True,,,,-34.4494444444444,-62.4133333333333,,Argentina,INA,
2220,2220,39,24.0,m,INA,,,,True,,,,-35.1844444444444,-67.7269444444444,,Argentina,INA,
2221,2221,39,24.0,m,INA,,,,True,,,,-35.9994444444444,-67.1852777777778,,Argentina,INA,
2223,2223,39,24.0,m,INA,,,,True,,,,-27.9402777777778,-63.4397222222222,,Argentina,INA,Rio Parana
2225,2225,39,24.0,m,INA,,,,True,,,,-45.5644444444444,-69.0672222222222,,Argentina,INA,
2227,2227,39,24.0,m,INA,,,,True,,,,-35.9622222222222,-57.8519444444444,,Argentina,INA,Rio de la Plata
2228,2228,39,24.0,m,INA,,,,True,,,,-49.3433333333333,-72.8608333333333,,Argentina,INA,
2229,2229,39,24.0,m,INA,,,,True,,,,-42.0997222222222,-71.17,,Argentina,INA,
2355,2355,39,24.0,m,INA,,,,True,,,,-44.9583333333333,-71.3419444444444,,Argentina,INA,
2357,2357,39,24.0,m,INA,,,,True,,,,-31.6302777777778,-60.6777777777778,,Argentina,INA,Rio Parana
2593,2593,39,24.0,m,INA,,,,True,,,,-25.1538888888889,-65.42,,Argentina,INA,Rio Parana
2606,2606,39,24.0,m,INA,,,,True,,,,-42.6513888888889,-70.4355555555556,,Argentina,INA,
2607,2607,39,24.0,m,INA,,,,True,,,,-35.2641666666667,-69.2497222222222,,Argentina,INA,
2608,2608,39,24.0,m,INA,,,,True,,,,-34.6686111111111,-69.3163888888889,,Argentina,INA,
2610,2610,39,24.0,m,INA,,,,True,,,,-42.4955555555556,-71.5411111111111,,Argentina,INA,
2671,2671,39,24.0,m,INA,,,,True,,,,-25.1608333333333,-64.1061111111111,,Argentina,INA,Rio Parana
2672,2672,39,24.0,m,INA,,,,True,,,,-25.1613888888889,-64.1061111111111,,Argentina,INA,Rio Parana
2673,2673,39,24.0,m,INA,,,,True,,,,-31.6611111111111,-60.6019444444444,,Argentina,INA,Rio Parana
2731,2731,39,24.0,m,INA,,,,True,,,,-28.4166666666667,-56.5422222222222,,Argentina,INA,Rio Uruguay
2732,2732,39,24.0,m,INA,,,,True,,,,-35.0986111111111,-68.8747222222222,,Argentina,INA,
2762,2762,39,24.0,m,INA,,,,True,,,,-42.1055555555556,-71.7247222222222,,Argentina,INA,
2807,2807,39,24.0,m,INA,,,,True,,,,-26.3741666666667,-63.7244444444444,,Argentina,INA,Rio Parana
2808,2808,39,24.0,m,INA,,,,True,,,,-35.5527777777778,-69.6825,,Argentina,INA,
2809,2809,39,24.0,m,INA,,,,True,,,,-34.7627777777778,-63.645,,Argentina,INA,
2810,2810,39,24.0,m,INA,,,,True,,,,-25.3441666666667,-64.0461111111111,,Argentina,INA,Rio Parana
2812,2812,39,24.0,m,INA,,,,True,,,,-49.3944444444444,-72.8694444444444,,Argentina,INA,
2813,2813,39,24.0,m,INA,,,,True,,,,-28.9166666666667,-57.2363888888889,,Argentina,INA,Rio Uruguay
2814,2814,39,24.0,m,INA,,,,True,,,,-25.3933333333333,-64.5922222222222,,Argentina,INA,Rio Parana
