STATION_ID,STATION_NAME,EXTERNAL_LOCATION_ID,EXTERNAL_PARAMETER_ID,TIMESTEP_HOUR,UNIT,IMPORT_SOURCE,THRESHOLD_LOW,THRESHOLD_YELLOW,THRESHOLD_ORANGE,THRESHOLD_RED,THRESHOLD_WATERINTAKE,THRESHOLD_NAVIGATION,THRESHOLD_MEAN,THRESHOLD_P05,THRESHOLD_P10,THRESHOLD_P90,THRESHOLD_P95,IMPORT,LATITUDE,LONGITUDE,ALTITUDE,TYPE,COUNTRY,ORGANIZATION,SUBBASIN,PARENT_ID,CHILD_ID
2116,Paraguay - Pto. Formosa,2116,39,24.0,m,INA,3.41,8.01,,8.51,,,,,,,,True,-26.1830555555556,-58.1619444444444,,Automatic,Argentina,INA,Rio Paraguay,AR_INA_2116,AR_INA_2116_INA_24_H
2116,Paraguay - Pto. Formosa,2116,101,4.0,m,INA,3.41,8.01,,8.51,,,,,,,,True,-26.1830555555556,-58.1619444444444,,Automatic,Argentina,INA,Rio Paraguay,AR_INA_2116,AR_INA_2116_INA_4_H
2119,Segundo (Plujunta) - RP Nº 17,2119,39,24.0,m,INA,,,,,,,,,,,,True,-31.0105555555556,-62.7883333333333,,Automatic,Argentina,INA,,AR_INA_2119,AR_INA_2119_INA_24_H
2119,Segundo (Plujunta) - RP Nº 17,2119,101,4.0,m,INA,,,,,,,,,,,,True,-31.0105555555556,-62.7883333333333,,Automatic,Argentina,INA,,AR_INA_2119,AR_INA_2119_INA_4_H
2121,Aº El Monje - Autopista A01,2121,39,24.0,m,INA,,,,,,,,,,,,True,-32.3922222222222,-60.9408333333333,,Automatic,Argentina,INA,Rio Parana,AR_INA_2121,AR_INA_2121_INA_24_H
2121,Aº El Monje - Autopista A01,2121,101,4.0,m,INA,,,,,,,,,,,,True,-32.3922222222222,-60.9408333333333,,Automatic,Argentina,INA,Rio Parana,AR_INA_2121,AR_INA_2121_INA_4_H
2129,Arrecifes - Arrecifes,2129,39,24.0,m,INA,,,,,,,,,,,,True,-34.0866666666667,-60.0072222222222,,Automatic,Argentina,INA,Rio Parana,AR_INA_2129,AR_INA_2129_INA_24_H
2129,Arrecifes - Arrecifes,2129,101,4.0,m,INA,,,,,,,,,,,,True,-34.0866666666667,-60.0072222222222,,Automatic,Argentina,INA,Rio Parana,AR_INA_2129,AR_INA_2129_INA_4_H
2131,Paraná - Itatí,2131,39,24.0,m,INA,2.74,6.84,,7.54,,,,,,,,True,-27.2663888888889,-58.2444444444444,,Automatic,Argentina,INA,Rio Parana,AR_INA_2131,AR_INA_2131_INA_24_H
2131,Paraná - Itatí,2131,101,4.0,m,INA,2.74,6.84,,7.54,,,,,,,,True,-27.2663888888889,-58.2444444444444,,Automatic,Argentina,INA,Rio Parana,AR_INA_2131,AR_INA_2131_INA_4_H
