STATION_ID,STATION_NAME,STATION_SHORTNAME,TOOLTIP,LATITUDE,LONGITUDE,ALTITUDE,TYPE,COUNTRY,ORGANIZATION,SUBBASIN,PARENT_ID
175,Emilia - Ruta Provincial nº 62,Emilia-RutaP,station 175: Emilia - Ruta Provincial nº 62 - property of FICH,-31.042868,-60.841003,,Conventional,Argentina,INA,Rio Parana,AR_INA_175
1257,Arroyo Borches,BORCHES,station 1257: Arroyo Borches - property of INA,-34.0752137139779,-58.4426647718186,,Automatic,Argentina,INA,Rio Parana,AR_INA_1257
1679,Santo Tomé,STOME_SALADO,station 1679: Santo Tomé - property of FICH,-31.667601,-60.752233,,Conventional,Argentina,INA,Rio Parana,AR_INA_1679
1701,Gualeguaychú FdX,GCHUFXD,station 1701: Gualeguaychú FdX - property of Municipalidad de Gualeguaychú,-33.0666666666667,-58.4166666666667,,Automatic,Argentina,INA,Rio Uruguay,AR_INA_1701
1706,Oyarvide,Oyarvide,station 1706: Oyarvide,-35.0999984741211,-57.13330078125,,Automatic,Argentina,INA,Rio de la Plata,AR_INA_1706
1708,La Plata,LaPlata,station 1708: La Plata,-34.8339004516602,-57.8800010681152,,Automatic,Argentina,INA,Rio de la Plata,AR_INA_1708
1739,Atalaya,Atalaya,station 1739: Atalaya - property of Servicio de Hidrografía Naval,-35.015278,-57.536111,,Automatic,Argentina,INA,Rio de la Plata,AR_INA_1739
1744,Arroyo San Francisco,SANFRAN,station 1744: Arroyo San Francisco - property of INA,-34.7277556,-58.3200389,,Automatic,Argentina,INA,Rio de la Plata,AR_INA_1744
2112,Gualeguaychú - RN Nº 14,Gualeguaychú,station 2112: Gualeguaychú - RN Nº 14 - property of RHN,-32.7680555555556,-58.4983333333333,,Automatic,Argentina,INA,Rio Uruguay,AR_INA_2112
2113,Aº Colastiné - Autopista - A01,AºColastiné-,station 2113: Aº Colastiné - Autopista - A01 - property of RHN,-32.0177777777778,-60.9902777777778,,Automatic,Argentina,INA,Rio Parana,AR_INA_2113
2115,Paraná - Corrientes,Paraná-Corri,station 2115: Paraná - Corrientes - property of RHN,-27.4597222222222,-58.8333333333333,,Automatic,Argentina,INA,Rio Parana,AR_INA_2115
2116,Paraguay - Pto. Formosa,Paraguay-Pto,station 2116: Paraguay - Pto. Formosa - property of RHN,-26.1830555555556,-58.1619444444444,,Automatic,Argentina,INA,Rio Paraguay,AR_INA_2116
2119,Segundo (Plujunta) - RP Nº 17,Segundo(Pluj,station 2119: Segundo (Plujunta) - RP Nº 17 - property of RHN,-31.0105555555556,-62.7883333333333,,Automatic,Argentina,INA,,AR_INA_2119
2121,Aº El Monje - Autopista A01,AºElMonje-Au,station 2121: Aº El Monje - Autopista A01 - property of RHN,-32.3922222222222,-60.9408333333333,,Automatic,Argentina,INA,Rio Parana,AR_INA_2121
2129,Arrecifes - Arrecifes,Arrecifes-Ar,station 2129: Arrecifes - Arrecifes - property of RHN,-34.0866666666667,-60.0072222222222,,Automatic,Argentina,INA,Rio Parana,AR_INA_2129
2131,Paraná - Itatí,Paraná- Itat,station 2131: Paraná - Itatí - property of RHN,-27.2663888888889,-58.2444444444444,,Automatic,Argentina,INA,Rio Parana,AR_INA_2131
2139,Coronda - Coronda,Coronda-Coro,station 2139: Coronda - Coronda - property of RHN,-31.9741666666667,-60.9138888888889,,Automatic,Argentina,INA,Rio Parana,AR_INA_2139
2149,Iguazú - Perfil Tipo,Iguazú-Perfi,station 2149: Iguazú - Perfil Tipo - property of RHN,-25.6766666666667,-54.4213888888889,,Automatic,Argentina,INA,Rio Parana,AR_INA_2149
2150,Miriñay - Paso Ledesma,Miriñay-Paso,station 2150: Miriñay - Paso Ledesma - property of RHN,-29.8458333333333,-57.675,,Automatic,Argentina,INA,Rio Uruguay,AR_INA_2150
