STATION_ID,EXTERNAL_LOCATION_ID,EXTERNAL_PARAMETER_ID,TIMESTEP_HOUR,UNIT,IMPORT_SOURCE,THRESHOLD_YELLOW,THRESHOLD_ORANGE,THRESHOLD_RED,THRESHOLD_MEAN,THRESHOLD_P05,THRESHOLD_P10,THRESHOLD_P90,THRESHOLD_P95,IMPORT,LATITUDE,LONGITUDE,ALTITUDE,TYPE,COUNTRY,ORGANIZATION,SUBBASIN
0-76-4-56211500,DC4240A153556A6A5BB1D89A6085765D30D0B4F0,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-20.4894,-43.4456,,,Brazil,WHOS,
0-76-4-60160080,E04D3168C62C6E7784E0C9C9DCD4859C8B2AEAF2,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-18.4519,-47.9844,,,Brazil,WHOS,Rio Parana
0-76-4-87242000,83265C9A66B00B3D5D655BF0F3B284AD57A253B6,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-30.1075,-51.3111,,,Brazil,WHOS,
0-76-4-83105000,1B29CD8DFB9142C03D135EEA4ED0BDEDBB342DD2,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-27.6839,-49.3631,,,Brazil,WHOS,
0-76-4-61815900,0E8CC31BDC867436FBA1696BE4601F7DFC20DB4F,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-21.5811,-46.7469,,,Brazil,WHOS,Rio Parana
0-76-0-4303905000000494,6B244C6962AE0EDC9B279C97E8172CEC6DF80BEF,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-29.674293,-51.064042,,,Brazil,INMET,
0-76-4-59305071,D84B91B0984DA27351685429DDA58CBFA91F7D71,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-22.9578,-43.2778,,,Brazil,WHOS,
0-76-4-60335080,6005C6E0D5C6E5F21FAC8F7D0CF2CA1E9A24A691,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-19.1333,-47.6944,,,Brazil,WHOS,Rio Parana
0-76-4-24035000,7DC2D334109399F65303B9F8987024312146EC18,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-17.3322,-53.205,,,Brazil,WHOS,
0-76-4-66171500,F22D8BE15D350EC34418ECBD3AFBEBF4AA417481,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-15.0919,-55.4417,,,Brazil,WHOS,Rio Paraguay
0-76-4-42450600,B0E23DFBAA7B0B4D07F83F46E11DA39B4D69E300,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-15.9428,-47.3636,,,Brazil,WHOS,
0-76-4-65980500,470FAA7A2F00DBFE9D685E1F83E83B983C49ABB7,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-25.7692,-53.6111,,,Brazil,WHOS,Rio Parana
0-76-4-71498000,A2E6035D412B8D503EC7A2695134D70C26201175,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-27.3339,-50.7539,,,Brazil,WHOS,Rio Uruguay
