STATION_ID,EXTERNAL_LOCATION_ID,EXTERNAL_PARAMETER_ID,TIMESTEP_HOUR,UNIT,IMPORT_SOURCE,THRESHOLD_LOW,THRESHOLD_YELLOW,THRESHOLD_RED,IMPORT,THRESHOLD_p05,THRESHOLD_p50,THRESHOLD_p95,LATITUDE,LONGITUDE,ALTITUDE,TYPE,COUNTRY,ORGANIZATION,SUBBASIN
86,86,2,,m,INA,0.3,2.5,2.8,True,0.475855194561468,1.11589071464017,1.94810381873709,-34.824196,-57.873546,,Conventional,Argentina,INA,Rio de la Plata
99,99,2,,m,INA,0.72,3.5,3.8,True,0.819480871730815,1.61673769989952,2.98512021179408,-33.0144444444444,-58.5041666666667,,Conventional,Argentina,INA,Rio Uruguay
103,103,2,,m,INA,,4.7,,True,0.206478143233012,2.29943169498704,4.9891420778681,-31.4912222222222,-60.7805555555556,,Conventional,Argentina,INA,Rio Parana
105,105,2,,m,INA,,4.0,,True,2.14603823846807,3.14045627977027,4.70681966067663,-29.2751666666667,-61.7439444444444,,Conventional,Argentina,INA,Rio Parana
149,149,2,,m,INA,,,,True,,,,-34.166861111,-58.638166667,,Automatic,Argentina,INA,Rio Parana
175,175,2,,m,INA,,4.5,,True,,,,-31.042868,-60.841003,,Conventional,Argentina,INA,Rio Parana
1016,1016,2,,m,INA,,,,True,,,,-31.404212,-58.002561,,Automatic,Argentina,INA,Rio Uruguay
1017,1017,2,,m,INA,,,,True,,,,-29.470444,-56.81167,,Automatic,Argentina,INA,Rio Uruguay
1019,1019,2,,m,INA,,,,True,,,,-29.112957,-56.555522,,Automatic,Argentina,INA,Rio Uruguay
1022,1022,2,,m,INA,,,,True,,,,-30.992189,-57.913847,,Automatic,Argentina,INA,Rio Uruguay
1035,1035,2,,m,INA,,,,True,,,,-28.177515,-55.642269,,Automatic,Argentina,INA,Rio Uruguay
1038,1038,2,,m,INA,,,,True,,,,-27.298582,-54.193437,,Automatic,Argentina,INA,Rio Uruguay
1039,1039,2,,m,INA,,,,True,,,,-27.153304,-53.933283,,Automatic,Argentina,INA,Rio Uruguay
1074,1074,2,,m,INA,,,,True,,,,-30.249296,-57.622519,,Automatic,Argentina,INA,Rio Uruguay
1077,1077,2,,m,INA,,,,True,,,,-30.626772,-57.982836,,Automatic,Argentina,INA,Rio Uruguay
1094,1094,2,,m,INA,,3.5,,True,0.383631148278876,1.25152185233564,1.76995355053678,-29.867045,-60.337943,,Conventional,Argentina,INA,Rio Parana
1257,1257,2,,m,INA,,,,True,,,,-34.0752137139779,-58.4426647718186,,Automatic,Argentina,INA,Rio Parana
1679,1679,2,,m,INA,,4.7,,True,,,,-31.667601,-60.752233,,Conventional,Argentina,INA,Rio Parana
1698,1698,2,,m,INA,,,,True,,,,-34.356202,-58.633833,,Conventional,Argentina,INA,Rio Parana
1701,1701,2,,m,INA,,,,True,,,,-33.0666666666667,-58.4166666666667,,Automatic,Argentina,INA,Rio Uruguay
1706,1706,2,,m,INA,,,,True,0.425303280434973,0.816508195765032,1.49005464680208,-35.0999984741211,-57.13330078125,,Automatic,Argentina,INA,Rio de la Plata
1708,1708,2,,m,INA,,,,True,0.649989067531023,1.13032239968659,1.87275682414164,-34.8339004516602,-57.8800010681152,,Automatic,Argentina,INA,Rio de la Plata
1739,1739,2,,m,INA,,,,True,,,,-35.015278,-57.536111,,Automatic,Argentina,INA,Rio de la Plata
1743,1743,2,,m,INA,,,,True,,,,-34.7383417,-58.3096056,,Automatic,Argentina,INA,Rio de la Plata
1744,1744,2,,m,INA,,,,True,,,,-34.7277556,-58.3200389,,Automatic,Argentina,INA,Rio de la Plata
1877,1877,2,,m,INA,,,,True,,,,-34.185121,-58.501874,,Automatic,Argentina,INA,Rio Parana
2111,2111,2,,m,INA,,,,True,,,,-35.0880555555556,-60.1088888888889,,Automatic,Argentina,INA,Rio de la Plata
2112,2112,2,,m,INA,,,,True,,,,-32.7680555555556,-58.4983333333333,,Automatic,Argentina,INA,Rio Uruguay
2113,2113,2,,m,INA,,,,True,,,,-32.0177777777778,-60.9902777777778,,Automatic,Argentina,INA,Rio Parana
2115,2115,2,,m,INA,3.0,6.5,7.0,True,,,,-27.4597222222222,-58.8333333333333,,Automatic,Argentina,INA,Rio Parana
2116,2116,2,,m,INA,3.41,8.01,8.51,True,,,,-26.1830555555556,-58.1619444444444,,Automatic,Argentina,INA,Rio Paraguay
2117,2117,2,,m,INA,,,,True,,,,-34.2861111111111,-60.2591666666667,,Automatic,Argentina,INA,Rio Parana
2119,2119,2,,m,INA,,,,True,,,,-31.0105555555556,-62.7883333333333,,Automatic,Argentina,INA,
2120,2120,2,,m,INA,,,,True,,,,-30.9119444444444,-62.6777777777778,,Automatic,Argentina,INA,
2121,2121,2,,m,INA,,,,True,,,,-32.3922222222222,-60.9408333333333,,Automatic,Argentina,INA,Rio Parana
2122,2122,2,,m,INA,,,,True,,,,-36.8425,-66.9952777777778,,Automatic,Argentina,INA,
2123,2123,2,,m,INA,,,,True,,,,-36.3977777777778,-67.1402777777778,,Automatic,Argentina,INA,
