,STATION_ID,STATION_NAME,STATION_SHORTNAME,TOOLTIP,LATITUDE,LONGITUDE,ALTITUDE,TYPE,COUNTRY,ORGANIZATION,SUBBASIN
1400,0-76-4-70150000,UHE BARRA GRANDE PASSO DO HONORATO,UHEBARRAGRAN,UHE BARRA GRANDE PASSO DO HONORATO,-28.3944,-50.5756,,,Brazil,WHOS,Rio Uruguay
1401,0-76-4-65015400,CACHOEIRA,CACHOEIRA,CACHOEIRA,-25.5892,-49.2281,,,Brazil,WHOS,Rio Parana
1402,1706,Oyarvide,Oyarvide,Oyarvide,-35.0999984741211,-57.13330078125,,,Argentina,INA,Rio de la Plata
1403,19140,ANTA,ANTA,ANTA,-22.033924,-43.000739,,,Brazil,SAR - Agência Nacional de Águas (ANA),
1404,86,La Plata,LaPlata,La Plata,-34.824196,-57.873546,,,Argentina,INA,Rio de la Plata
1405,0-76-4-41140080,PCH RIO DE PEDRAS BARRAMENTO,PCHRIODEPEDR,PCH RIO DE PEDRAS BARRAMENTO,-20.2139,-43.7317,,,Brazil,WHOS,
1406,0-76-0-5210901000000173,ITAPACI,ITAPACI,ITAPACI,-14.97972221,-49.53999999,,,Brazil,INMET,
1407,0-76-0-4316907000W83936,SANTA MARIA,SANTAMARIA,SANTA MARIA,-29.72472221,-53.72055554,,,Brazil,INMET,
1408,19142,MAUA,MAUA,MAUA,-24.262236,-50.719705,,,Brazil,SAR - Agência Nacional de Águas (ANA),Rio Parana
1409,0-76-4-58318000,UEL SANTA CECILIA BARRAMENTO,UELSANTACECI,UEL SANTA CECILIA BARRAMENTO,-22.4819,-43.8386,,,Brazil,WHOS,
1410,0-76-0-3170206000000036,UBERLANDIA,UBERLANDIA,UBERLANDIA,-18.91694443,-48.25555555,,,Brazil,INMET,Rio Parana
1411,0-76-0-3550902000W83669,SAO SIMAO,SAOSIMAO,SAO SIMAO,-21.46111111,-47.57944443,,,Brazil,INMET,Rio Parana
1412,0-76-4-61895050,PCH SAO JOSE JUSANTE,PCHSAOJOSEJU,PCH SAO JOSE JUSANTE,-21.9297,-46.8164,,,Brazil,WHOS,Rio Parana
1413,0-76-0-3550902000000592,SAO SIMAO,SAOSIMAO,SAO SIMAO,-21.46111111,-47.57944443,,,Brazil,INMET,Rio Parana
1414,0-76-4-40710000,BELO VALE,BELOVALE,BELO VALE,-20.4083,-44.0217,,,Brazil,WHOS,
1415,2158,Aº Feliciano-Paso Medina,AºFeliciano-,Aº Feliciano-Paso Medina,-30.9236111111111,-59.5511111111111,,,Argentina,INA,Rio Parana
1416,0-76-4-2449067,UHE CHAVANTES BERTANHOLI,UHECHAVANTES,UHE CHAVANTES BERTANHOLI,-24.0903,-49.3292,,,Brazil,WHOS,Rio Parana
1417,0-76-0-5300108000000551,BRAZLANDIA,BRAZLANDIA,BRAZLANDIA,-15.59972221,-48.1311111,,,Brazil,INMET,
1418,0-76-4-20090010,UHE SERRA DA MESA PORTEIRAS SANTA BARBARA,UHESERRADAME,UHE SERRA DA MESA PORTEIRAS SANTA BARBARA,-14.8336,-48.7497,,,Brazil,WHOS,
1419,0-76-0-4117008000000174,NOVA FATIMA,NOVAFATIMA,NOVA FATIMA,-23.41527777,-50.57777777,,,Brazil,INMET,Rio Parana
1420,0-76-4-66071397,PCH SALTO JUSANTE,PCHSALTOJUSA,PCH SALTO JUSANTE,-15.2919,-58.7075,,,Brazil,WHOS,Rio Paraguay
1421,0-76-0-4107108000000306,DIAMANTE DO NORTE,DIAMANTEDONO,DIAMANTE DO NORTE,-22.63944444,-52.89027777,,,Brazil,INMET,Rio Parana
1422,0-76-4-40686000,PCH SALTO DO PARAOPEBA RIO CAMAPUA,PCHSALTODOPA,PCH SALTO DO PARAOPEBA RIO CAMAPUA,-20.5594,-43.9903,,,Brazil,WHOS,
1423,0-76-4-66454900,PCH RONDONOPOLIS BARRAMENTO,PCHRONDONOPO,PCH RONDONOPOLIS BARRAMENTO,-16.6669,-54.7356,,,Brazil,WHOS,Rio Paraguay
1424,2131,Río Paraná - Itatí,RíoParaná- I,Río Paraná - Itatí,-27.2663888888889,-58.2444444444444,,,Argentina,INA,Rio Parana
1425,0-76-4-24179090,PCH SAO DOMINGOS MONTANTE 2,PCHSAODOMING,PCH SAO DOMINGOS MONTANTE 2,-16.3375,-52.745,,,Brazil,WHOS,
1426,0-76-0-3525706000000249,JOSE BONIFACIO,JOSEBONIFACI,JOSE BONIFACIO,-21.08555555,-49.92027777,,,Brazil,INMET,Rio Parana
1427,0-76-1-3518800000W83778,GUARULHOS - AEROPORTO,GUARULHOS-AE,GUARULHOS - AEROPORTO,-23.44,-46.47,,,Brazil,WHOS,Rio Parana
1428,0-76-4-85500100,PCH COLORADO MONTANTE,PCHCOLORADOM,PCH COLORADO MONTANTE,-28.5794,-52.92,,,Brazil,WHOS,
1429,84,Boca Gualeguaychú,BocaGualegua,Boca Gualeguaychú,-33.0666666666667,-58.4166666666667,,,Argentina,INA,Rio Uruguay
1430,0-76-0-5213806000000006,MORRINHOS,MORRINHOS,MORRINHOS,-17.745066,-49.101698,,,Brazil,INMET,Rio Parana
1431,0-76-4-66280000,BARAO DE MELGACO,BARAODEMELGA,BARAO DE MELGACO,-16.1928,-55.9669,,,Brazil,WHOS,Rio Paraguay
1432,1056,Diego Lamas,DiegoLamas,Diego Lamas,-30.755734,-57.055016,,,Uruguay,INA,Rio Uruguay
1433,0-76-4-40865001,UHE TRES MARIAS PORTO MESQUITA,UHETRESMARIA,UHE TRES MARIAS PORTO MESQUITA,-19.1731,-44.7011,,,Brazil,WHOS,
1434,0-76-0-3145604000000560,OLIVEIRA,OLIVEIRA,OLIVEIRA,-20.715,-44.86444444,,,Brazil,INMET,Rio Parana
