STATION_ID,STATION_NAME,STATION_SHORTNAME,TOOLTIP,LATITUDE,LONGITUDE,ALTITUDE,COUNTRY,ORGANIZATION,SUBBASIN
C48A90415B4A82BCC35AF0CEC2BC5EF9B0982F99,UHE ITÁ RIO DO PEIXE,UHEITÁRIODOP,UHE ITÁ RIO DO PEIXE,-27.3394,-51.6114,,Brazil,National Water Agency of Brazil,
C48FD03BAFDDE613884B29C370D4DFFDD3802DBE,FAZENDA SÃO JORGE,FAZENDASÃOJO,FAZENDA SÃO JORGE,-31.4533,-54.13,,Brazil,National Water Agency of Brazil,
C490A0EFF3B004B529C9C0719B7F95D05D86EF9A,BARTOLOMEU - FAZENDA RECREIO,BARTOLOMEU-F,BARTOLOMEU - FAZENDA RECREIO,-16.0633,-47.6797,,Brazil,National Water Agency of Brazil,
C49B89BC4FA44B7BCE58A1B7ECF5F692D018E735,ITUVERAVA,ITUVERAVA,ITUVERAVA,-20.35976,-47.77522,,,SBBX,
C4A9F81DDD095E2729956D8FB01097FA47D8B28B,PCH RIO TIMBÓ RIO CAÇADOR GRANDE,PCHRIOTIMBÓR,PCH RIO TIMBÓ RIO CAÇADOR GRANDE,-26.5936,-50.7283,,Brazil,National Water Agency of Brazil,
C4C14C29494DE9B24301A6A36BBCEAFE4BCB8680,SAO PAULO - CIDADE DUTRA,SAOPAULO-CID,SAO PAULO - CIDADE DUTRA,-23.72,-46.702,,Brazil,,
C4E4156F1296664D17819108B0D887637F42B3E5,LEME - CENTRO,LEME-CENTRO,LEME - CENTRO,-22.1875,-47.39004,,Brazil,,
C4F60ED19A6316812A12B793957AD91891491293,VARGEM GRANDE DO SUL - CENTRO,VARGEMGRANDE,VARGEM GRANDE DO SUL - CENTRO,-21.82982,-46.89509,,Brazil,,
C4F88C0225E10C3173209F01EF098D660FD5D85C,COLOMBO,COLOMBO,COLOMBO,-25.322464,-49.157733,,Brazil,INMET,
C50E0AB9B7559E14B3D3406C985E406EE787F1F1,Aº Barrancas en Paso La Llana,AºBarrancase,Aº Barrancas en Paso La Llana,-30.2172222222222,-59.3244444444444,,Argentina,Instituto Nacional del Agua (INA),
