STATION_ID,EXTERNAL_LOCATION_ID,EXTERNAL_PARAMETER_ID,TIMESTEP_HOUR,UNIT,IMPORT_SOURCE
AE838A06183EC08B0F9BC824A11F93A934BFC816,AE838A06183EC08B0F9BC824A11F93A934BFC816,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,,millimetre,WHOS
1E80BFC7D5752D0BA0DAF14EC20B4ED71D88C391,1E80BFC7D5752D0BA0DAF14EC20B4ED71D88C391,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,,millimetre,WHOS
89D6BA536A22E1B29AEDC64EC69517CC10555900,89D6BA536A22E1B29AEDC64EC69517CC10555900,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,,millimetre,WHOS
6FCFF00DE3E0FB841A052D981CF22C62E6964A9F,6FCFF00DE3E0FB841A052D981CF22C62E6964A9F,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,,millimetre,WHOS
6AB0AC17BC81A8DFE28772DA972FEFFC97F8F665,6AB0AC17BC81A8DFE28772DA972FEFFC97F8F665,7075721786F52D17847D1D6369D0F3E794795E5C,3.0,millimetre,WHOS
DB2A10A19B0606F049DD4D2BCB00A0BE0A8E6930,DB2A10A19B0606F049DD4D2BCB00A0BE0A8E6930,7075721786F52D17847D1D6369D0F3E794795E5C,3.0,millimetre,WHOS
0C592A3BB44A548302F9F3CE51B71A0E2C00E6CB,0C592A3BB44A548302F9F3CE51B71A0E2C00E6CB,B838A449A5FBC64CBB8A204A5CD614519EB0844A,24.0,millimetre,WHOS
88B505974F8EF84A0AAC5A893D0F94514201F9CE,88B505974F8EF84A0AAC5A893D0F94514201F9CE,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,,millimetre,WHOS
7F2533EF397303FE6E90212082C7ABE0A79C6A7A,7F2533EF397303FE6E90212082C7ABE0A79C6A7A,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,,millimetre,WHOS
CF5416E46FF9A139B5010D1449F45A40E4728B0C,CF5416E46FF9A139B5010D1449F45A40E4728B0C,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,,millimetre,WHOS
